start_position,gc_content
1,20.0
2,20.0
3,20.0
4,20.0
5,20.0
6,20.0
7,20.0
8,30.0
9,40.0
10,30.0
11,30.0
12,30.0
13,30.0
14,40.0
15,50.0
16,50.0
17,60.0
18,50.0
19,40.0
20,40.0
21,50.0
22,40.0
23,50.0
24,50.0
25,40.0
26,50.0
27,40.0
28,50.0
29,50.0
30,60.0
31,60.0
32,60.0
33,60.0
34,60.0
35,70.0
36,60.0
37,60.0
38,60.0
39,70.0
40,70.0
41,60.0
42,60.0
43,60.0
44,60.0
45,50.0
46,50.0
47,60.0
48,60.0
49,50.0
50,40.0
51,40.0
52,50.0
53,40.0
54,40.0
55,40.0
56,40.0
57,30.0
58,20.0
59,30.0
60,40.0
61,50.0
62,40.0
63,40.0
64,30.0
65,40.0
66,40.0
67,40.0
68,40.0
69,40.0
70,40.0
71,40.0
72,40.0
73,50.0
74,50.0
75,50.0
76,50.0
77,60.0
78,60.0
79,60.0
80,50.0
81,50.0
82,60.0
83,60.0
84,60.0
85,60.0
86,70.0
87,70.0
88,70.0
89,70.0
90,70.0
91,70.0
